iter	Passed	Remaining
321	1365	2875
322	1368	2867
323	1369	2858
324	1372	2850
325	1375	2843
326	1378	2836
327	1380	2828
328	1383	2820
329	1385	2812
330	1394	2817
331	1396	2809
332	1398	2800
333	1400	2793
334	1407	2793
335	1410	2787
336	1412	2779
337	1414	2771
338	1417	2763
339	1441	2798
340	1444	2791
341	1456	2801
342	1479	2834
343	1482	2827
344	1485	2820
345	1487	2812
346	1490	2803
347	1492	2796
348	1497	2792
349	1499	2784
350	1502	2778
351	1505	2770
352	1511	2770
353	1515	2765
354	1517	2757
355	1543	2791
356	1545	2783
357	1547	2775
358	1555	2777
359	1557	2769
360	1560	2761
361	1562	2753
362	1564	2746
363	1568	2739
364	1574	2739
365	1576	2731
366	1579	2723
367	1581	2716
368	1593	2725
369	1597	2719
370	1599	2711
371	1610	2718
372	1612	2710
373	1616	2704
374	1618	2696
375	1620	2689
376	1622	2680
377	1623	2672
378	1625	2663
379	1627	2655
380	1630	2649
381	1633	2642
382	1635	2634
383	1637	2626
384	1639	2619
385	1642	2612
386	1647	2609
387	1657	2614
388	1664	2614
389	1678	2626
390	1681	2618
391	1707	2647
392	1709	2640
393	1711	2632
394	1714	2625
395	1728	2636
396	1751	2660
397	1758	2659
398	1761	2653
399	1764	2646
400	1767	2640
401	1769	2632
402	1771	2624
403	1774	2617
404	1783	2619
405	1789	2617
406	1792	2611
407	1794	2604
408	1796	2596
409	1798	2588
410	1801	2581
411	1803	2573
412	1813	2577
413	1830	2590
414	1844	2600
415	1854	2602
416	1856	2596
417	1859	2589
418	1873	2598
419	1925	2658
420	1934	2660
421	1938	2654
422	1941	2648
423	1944	2641
424	1946	2633
425	1948	2625
426	1950	2617
427	1953	2610
